ID,NumMat,Nome,Descr
1,900,Prego 10x15, Prego de aço 10mm por 15mm
2,901,Parafuso Pan 12X24, Parafuso Panela 12mm por 24mm
3,902,Porca 8mm, Porca de Aço 8mm
4,903,Arruela Lisa 1/4, Arruela de aço lisa 1/4 polegada
5,904,Bucha S8, Bucha de nylon S8 para alvenaria
6,905,Rebite Pop 4x12, Rebite de alumínio tipo pop 4mm por 12mm
7,906,Gancho 5x50, Gancho de aço zincado 5mm por 50mm
8,907,Chumbador 3/8, Chumbador mecânico de expansão 3/8 polegada
9,908,Arruela Pressão 8mm, Arruela de pressão em aço carbono 8mm
10,909,Parafuso Sext 10x40, Parafuso sextavado zincado 10mm por 40mm
